Id,OBJECTID,ESTUFE1_ID,ESTUFEBEZ,VORRAT_HA_,GDICK,JWDICK,HS_en,alt_zone,area_ha,nat_res,plant,prot,p1,p5_old,BAU,BIO,HYBRID,WOOD,nat15,selve_cast,ceduo,p5,Id_2,manag,fsID,rst,elev,Above1000m,age,buf500,no_beech,StrictProt,SHORTNAME,elev_band
,105114.0,1.0,Jungwuchs/Dickung,22.0,,FI (e) / KA (10),colline with beech,2.0,0.3,,,1.0,,,6,6,6,6,,,1.0,,,,2756,Jungwuchs/Dickung_2,627.1,0,young,0,0,0,Verdabbio,500_1000
,105115.0,1.0,Jungwuchs/Dickung,156.0,,FI (1) / KA (9) / HAS (e),colline,3.0,0.3,,,1.0,,,7,7,7,7,,1.0,,,,,2757,Jungwuchs/Dickung_3,588.6,0,young,0,0,0,Verdabbio,500_1000
,105116.0,1.0,Jungwuchs/Dickung,116.0,,BU (e) / TEI (e) / FI (1) / KA (8) / HAS (1),colline with beech,2.0,0.7,,,1.0,,,6,6,6,6,,,1.0,,,,2758,Jungwuchs/Dickung_2,665.3,0,young,0,0,0,Verdabbio,500_1000
,105117.0,2.0,Stangenholz,121.0,FI (e) / KA (10) / LA (e) / BI (e) / BFO (e),TEI (e) / FI (1) / KA (7) / LA (e) / BI (e) / HAS (2),colline with beech,2.0,3.3,,,1.0,,,6,6,6,6,,,1.0,,,,2759,Stangenholz_2,696.9,0,not_young,0,0,0,Verdabbio,500_1000
,105118.0,3.0,Schwaches Baumholz,265.0,BU (e) / FI (1) / KA (8) / BI (1),FI (2) / KA (8),colline with beech,2.0,1.6,,,1.0,,,6,6,6,6,,,1.0,,,,2760,Schwaches Baumholz_2,782.1,0,not_young,0,0,0,Verdabbio,500_1000
,105147.0,5.0,Starkes Baumholz,346.0,FI (5) / LA (3) / TA (1),,high-montane (main area of silver fir),10.0,1.7,1.0,,,,,1,1,1,1,,,,,,,2787,Starkes Baumholz_10,1606.3,1,not_young,0,0,0,Verdabbio,1500_2000
,105148.0,4.0,Mittleres Baumholz,202.0,FI (8) / LA (2),,subalpine,8.0,1.0,1.0,,,,,1,1,1,1,,,,,,,2788,Mittleres Baumholz_8,1846.9,1,not_young,0,0,0,Verdabbio,1500_2000
,105149.0,4.0,Mittleres Baumholz,236.0,FI (8) / LA (2),,upper subalpine,9.0,0.6,1.0,,,,,1,1,1,1,,,,,,,2789,Mittleres Baumholz_9,1965.2,1,not_young,0,0,0,Verdabbio,1500_2000
,105153.0,2.0,Stangenholz,87.0,LA (1) / LFO (1),,high-montane (main area of silver fir),10.0,1.5,,,,,,3,1,3,3,1.0,,,,,,2791,Stangenholz_10,1535.5,1,not_young,0,0,0,Verdabbio,1500_2000
,105226.0,2.0,Stangenholz,131.0,,,lower/upper montane,7.0,0.5,,,1.0,,,2,2,2,2,,,,,,,2796,Stangenholz_7,983.2,0,not_young,0,0,1,Verdabbio,500_1000
,105227.0,2.0,Stangenholz,115.0,,,lower/upper montane,7.0,1.4,,,1.0,,,2,2,2,2,,,,,,,2797,Stangenholz_7,883.6,0,not_young,0,0,1,Verdabbio,500_1000
,105228.0,2.0,Stangenholz,77.0,,,lower/upper montane,7.0,2.1,,,1.0,,,2,2,2,2,,,,,,,2798,Stangenholz_7,858.2999999999998,0,not_young,0,0,1,Verdabbio,500_1000
,105231.0,3.0,Schwaches Baumholz,178.0,AER (1) / LA (8) / LFO (1),,subalpine,8.0,1.8,0.0,,,,,3,1,3,3,1.0,,,,,,2801,Schwaches Baumholz_8,1784.1,1,not_young,0,0,0,Verdabbio,1500_2000
,105232.0,4.0,Mittleres Baumholz,135.0,LA (10),,upper subalpine,9.0,0.8,0.0,,,,,3,1,3,3,1.0,,,,,,2802,Mittleres Baumholz_9,1907.0,1,not_young,0,0,0,Verdabbio,1500_2000
,105234.0,4.0,Mittleres Baumholz,250.0,FI (8) / LA (2),,upper subalpine,9.0,1.5,1.0,,,,,1,1,1,1,,,,,,,2803,Mittleres Baumholz_9,1878.6,1,not_young,0,0,0,Verdabbio,1500_2000
,105249.0,3.0,Schwaches Baumholz,241.0,FI (e) / KA (5) / BI (3) / AS (1) / UST (e) / WFO (1),KA (8) / AS (2),colline with beech,2.0,0.8,,,1.0,,,6,6,6,6,,,1.0,,,,2813,Schwaches Baumholz_2,722.8999999999999,0,not_young,0,0,0,Verdabbio,500_1000
