#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
205;Ubrige Laubholzer;299;91;2019;1.6501376802842895;0;3.102394523383357
206;Ubrige Laubholzer;299;91;2019;1.6014062680660686;0;3.206390181431157
207;Ubrige Laubholzer;299;91;2019;1.6014062680660686;0;3.206390181431157
208;Fichte;100;95;2019;44.21367775617762;0;34.5085325774866
209;Fichte;100;95;2019;18.77832567738344;0;18.70619860757352
210;Fichte;100;95;2019;25.48528807672795;0;23.60509489430043
211;Fichte;100;95;2019;35.9598859075089;0;30.180486521268595
212;Fichte;100;95;2019;40.93662244436556;0;32.88257914121516
213;Fichte;100;95;2019;12.008277978978771;0;13.133613282564866
214;Fichte;100;95;2019;52.44419384595171;0;38.2714970214996
215;Fichte;100;95;2019;18.62034400433609;0;18.58516337111164
216;Fichte;100;95;2019;39.75798062260101;0;32.27143594849301
217;Fichte;100;95;2019;59.78173057561342;0;41.0944479204294
218;Fichte;100;95;2019;41.52592328728959;0;33.171232386351036
219;Fichte;100;95;2019;57.26511616761946;0;40.203071037640235
220;Ahorn;203;96;2019;1.263984546985276;0;2.417072812910848
221;Ubrige Laubholzer;299;96;2019;1.191689750031447;0;2.88277564902819
222;Ubrige Laubholzer;299;96;2019;1.191689750031447;0;2.88277564902819
223;Ubrige Laubholzer;299;96;2019;1.191689750031447;0;2.88277564902819
224;Ubrige Laubholzer;299;96;2019;1.2392054627311604;0;2.809218669342432
225;Ubrige Laubholzer;299;96;2019;1.2392054627311604;0;2.809218669342432
226;Fichte;100;108;2019;20.187254189876764;0;19.66229317314064
227;Foehre;102;113;2019;1.76043816643162;0;3.225255560792509
228;Ubrige Laubholzer;299;117;2019;1.4879342934907334;0;3.0992112218997523
229;Ubrige Laubholzer;299;121;2019;1.243441720712851;0;2.813976152767941
230;Ubrige Laubholzer;299;121;2019;1.243441720712851;0;2.813976152767941
231;Fichte;100;125;2019;43.572282026989456;0;34.05984538386318
232;Fichte;100;126;2019;1.6054464675833309;0;3.0956159289640595
233;Fichte;100;126;2019;1.6054464675833309;0;3.0956159289640595
234;Ubrige Laubholzer;299;126;2019;1.2839395205252655;0;2.865916468851887
235;Ubrige Laubholzer;299;126;2019;1.2839395205252655;0;2.865916468851887
236;Fichte;100;129;2019;41.77175612735615;0;32.94248408728907
237;Fichte;100;129;2019;1.429997195350542;0;2.919692601851066
238;Foehre;102;129;2019;1.4725287012314214;0;2.9254010190046555
239;Ahorn;203;129;2019;1.5096121173548058;0;2.621996794311505
240;Ahorn;203;129;2019;1.5096121173548058;0;2.621996794311505
241;Ahorn;203;129;2019;1.5096121173548058;0;2.621996794311505
242;Ahorn;203;129;2019;1.5096121173548058;0;2.621996794311505
243;Ahorn;203;129;2019;1.5096121173548058;0;2.621996794311505
244;Ubrige Laubholzer;299;129;2019;1.395659845006665;0;2.993396119208609
245;Ubrige Laubholzer;299;129;2019;1.395659845006665;0;2.993396119208609
246;Fichte;100;175;2019;1.4738533117568198;0;2.9542390794104367
247;Ahorn;203;175;2019;1.3452003442191842;0;2.4872058251217504
