area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
4.4,8,res_no_prot,not_young,1,1,1,0,1,14,Mittleres Baumholz,Mittleres Baumholz_8,,1729.4,Segnas
4.9,9,res_no_prot,not_young,1,1,1,0,1,15,Mittleres Baumholz,Mittleres Baumholz_9,,1919.1,Cavardiras
4.2,8,res_no_prot,not_young,1,1,1,0,1,16,Mittleres Baumholz,Mittleres Baumholz_8,,1557.3,Disentis/Mustér
10.4,5,res_no_prot,not_young,1,1,1,0,1,17,Schwaches Baumholz,Schwaches Baumholz_5,,1972.2,Cavardiras
3.0,11,res_no_prot,not_young,1,1,1,0,1,18,Schwaches Baumholz,Schwaches Baumholz_11,,1044.4,Cavardiras
1.4,8,res_no_prot,not_young,1,1,1,0,1,19,Stangenholz,Stangenholz_8,,1637.7,Breil/Brigels
2.2,11,res_no_prot,not_young,1,1,1,0,1,20,Mittleres Baumholz,Mittleres Baumholz_11,,1083.7,Waltensburg/Vuorz
0.7,8,res_no_prot,not_young,1,1,1,0,1,21,Mittleres Baumholz,Mittleres Baumholz_8,,1810.3,Andiast
8.3,12,res_no_prot,not_young,1,1,1,0,1,22,Mittleres Baumholz,Mittleres Baumholz_12,,1580.3,Surrein
3.2,12,res_no_prot,not_young,1,1,1,0,1,23,Stangenholz,Stangenholz_12,,1535.0,Surrein
1.2,8,res_no_prot,not_young,1,1,1,0,1,24,Mittleres Baumholz,Mittleres Baumholz_8,,1629.1,Sumvitg
2.3,9,res_no_prot,not_young,1,1,1,0,1,25,Starkes Baumholz,Starkes Baumholz_9,,1815.5,Obersaxen
6.4,8,res_no_prot,not_young,1,1,1,0,1,26,Mittleres Baumholz,Mittleres Baumholz_8,,1812.6,Obersaxen
2.7,9,res_no_prot,not_young,1,1,1,0,1,27,Mittleres Baumholz,Mittleres Baumholz_9,,1882.0,Obersaxen
1.1,8,res_no_prot,not_young,1,1,1,0,1,28,Mittleres Baumholz,Mittleres Baumholz_8,,1745.0,Sumvitg
0.9,8,res_no_prot,not_young,1,1,1,0,1,29,Mittleres Baumholz,Mittleres Baumholz_8,,1777.8,Sumvitg
0.7,8,res_no_prot,not_young,1,1,1,0,1,30,Mittleres Baumholz,Mittleres Baumholz_8,,1793.9,Sumvitg
0.5,8,res_no_prot,not_young,1,1,1,0,1,31,Schwaches Baumholz,Schwaches Baumholz_8,,1778.6,Sumvitg
0.6,5,res_no_prot,not_young,1,1,1,0,1,32,Stangenholz,Stangenholz_5,,1970.5,Sumvitg
0.9,8,res_no_prot,not_young,1,1,1,0,1,33,Stangenholz,Stangenholz_8,,1525.2,Sumvitg
0.7,8,res_no_prot,not_young,1,1,1,0,1,34,Schwaches Baumholz,Schwaches Baumholz_8,,1841.0,Sumvitg
0.6,8,res_no_prot,not_young,1,1,1,0,1,35,Schwaches Baumholz,Schwaches Baumholz_8,,1819.3,Obersaxen
3.1,9,res_no_prot,not_young,1,1,1,0,1,36,Mittleres Baumholz,Mittleres Baumholz_9,,1833.8,Obersaxen
2.1,8,res_no_prot,not_young,1,1,1,0,1,37,Mittleres Baumholz,Mittleres Baumholz_8,,1794.8,Sumvitg
1.0,8,res_no_prot,not_young,1,1,1,0,1,38,Schwaches Baumholz,Schwaches Baumholz_8,,1823.8,Sumvitg
1.2,8,res_no_prot,not_young,1,1,1,0,1,39,Schwaches Baumholz,Schwaches Baumholz_8,,1841.3,Sumvitg
2.2,12,res_no_prot,not_young,1,1,1,0,1,40,Mittleres Baumholz,Mittleres Baumholz_12,,1700.6,Surrein
1.2,12,res_no_prot,not_young,1,1,1,0,1,41,Mittleres Baumholz,Mittleres Baumholz_12,,1561.4,Surrein
2.3,12,res_no_prot,not_young,1,1,1,0,1,42,Mittleres Baumholz,Mittleres Baumholz_12,,1556.0,Surrein
1.1,12,res_no_prot,not_young,1,1,1,0,1,43,Mittleres Baumholz,Mittleres Baumholz_12,,1498.8,Surrein
0.7,12,res_no_prot,not_young,1,1,1,0,1,44,Stangenholz,Stangenholz_12,,1536.6,Surrein
1.1,12,res_no_prot,not_young,1,1,1,0,1,45,Starkes Baumholz,Starkes Baumholz_12,,1443.8,Sumvitg
0.9,8,res_no_prot,not_young,1,1,1,0,1,46,Stangenholz,Stangenholz_8,,1663.8,Sumvitg
1.0,12,res_no_prot,not_young,1,1,1,0,1,47,Starkes Baumholz,Starkes Baumholz_12,,1478.2,Sumvitg
0.7,12,res_no_prot,not_young,1,1,1,0,1,48,Mittleres Baumholz,Mittleres Baumholz_12,,1694.6,Surrein
0.5,12,res_no_prot,not_young,1,1,1,0,1,49,Stangenholz,Stangenholz_12,,1698.2,Surrein
2.7,12,res_no_prot,not_young,1,1,1,0,1,50,Mittleres Baumholz,Mittleres Baumholz_12,,1671.1,Surrein
1.1,5,res_no_prot,not_young,1,1,1,0,1,51,Schwaches Baumholz,Schwaches Baumholz_5,,1899.0,Sumvitg
